part,delta_s,d_min_m,kappa,beta_hat,beta_ratio,analytic_ratio,stride,eff_delta_s,n_linked,mean_move_m,median_move_m
synthetic,60.0,240.0,0.8521,0.0005756037840274948,0.8634,0.8621,,,,,
synthetic,120.0,480.0,0.7259,0.0005057313886218866,0.7586,0.7576,,,,,
synthetic,180.0,720.0,0.6183,0.00045096255482614885,0.6764,0.6757,,,,,
synthetic,300.0,1200.0,0.4484,0.00037051697523535513,0.5558,0.5556,,,,,
synthetic,600.0,2400.0,0.2017,0.00025674991942694356,0.3851,0.3846,,,,,
synthetic,900.0,3600.0,0.0902,0.00019611025333806357,0.2942,0.2941,,,,,
real:capcotentin,,,1.0,,,,1.0,60.0,299.0,2119.4,1771.8
real:capcotentin,,,0.9532,,,,2.0,120.0,285.0,2105.5,1736.6
real:capcotentin,,,0.9197,,,,3.0,180.0,275.0,2105.5,1736.6
real:capcotentin,,,0.9197,,,,5.0,300.0,275.0,2105.5,1736.6
real:capcotentin,,,0.4816,,,,10.0,600.0,144.0,2395.9,1974.4
